ENN,2021ebit,2021payable,2021receivable,2022ebit,2022payable,2022receivable,2023ebit,2023payable,2023receivable,2024ebit,2024payable,2024receivable,2025ebit,2025payable,2025receivable
6369012582,,,,245.0,,0.0,453.0,0.0,0.0,1088.0,0.0,0.0,653.0,0.0,0.0
2223616911,3147.0,,0.0,4411.0,,0.0,2841.0,,0.0,23248.0,,0.0,56584.0,682.0,0.0
3662268580,2012.0,15.0,0.0,3100.0,15.0,0.0,4614.0,15.0,0.0,1096.0,0.0,0.0,,,
5403029837,10047.0,3274.0,0.0,24440.0,4356.0,0.0,38752.0,4980.0,0.0,6831.0,0.0,0.0,3001.0,0.0,0.0
6658472814,7087.0,,0.0,19037.0,,0.0,11492.0,,0.0,28723.0,,0.0,8628.0,0.0,0.0
7743289466,7101.0,,9.0,-18473.0,,0.0,,,,,,,,,
7805437646,18668.0,72.0,,3559.0,113.0,,21875.0,1366.0,,87344.0,1272.0,4158.0,20997.0,4014.0,0.0
3652007325,,,,-9574.0,,,0.0,,,,,,,,
5256137268,451291.0,0.0,8608.0,11849.0,,0.0,70677.0,,28292.0,212422.0,174.0,68606.0,178652.0,815.0,46533.0
7810532969,9615.0,,0.0,4834.0,,0.0,22060.0,,0.0,28749.0,,0.0,29113.0,0.0,0.0
4825098509,545.0,,0.0,516.0,,0.0,749.0,,0.0,1612.0,0.0,0.0,3684.0,0.0,0.0
3906262674,13399.0,456.0,,9531.0,1.0,0.0,-36132.0,0.0,0.0,,,,,,
9723045458,14881.0,1734.0,1585.0,24778.0,3328.0,1136.0,29781.0,8446.0,3757.0,18045.0,1964.0,7855.0,2676.0,7498.0,9804.0
7721828770,8223.0,148.0,0.0,23185.0,145.0,0.0,10771.0,242.0,0.0,43056.0,77.0,0.0,20934.0,0.0,0.0
6313546007,2329.0,,,3601.0,201.0,,7001.0,5202.0,1186.0,9379.0,9688.0,2969.0,4345.0,3534.0,268.0
4825040918,100169.0,,0.0,169583.0,0.0,0.0,133442.0,,0.0,55673.0,0.0,0.0,,,
2222022619,59692.0,13606.0,25342.0,26746.0,22742.0,25525.0,87484.0,38678.0,34964.0,110586.0,116688.0,51659.0,106113.0,174524.0,143472.0
1657195090,91.0,11.0,0.0,-30312.0,0.0,0.0,,,,,,,,,
9705103001,557.0,,,271.0,,,542.0,,,763.0,,,905.0,0.0,0.0
7723374071,87964.0,13.0,350.0,20703.0,1534.0,619.0,-7196.0,1.0,2076.0,-1694.0,0.0,1363.0,,,
4202049359,3727.0,,,276.0,,,1262.0,,,2846.0,,104.0,3060.0,0.0,235.0
7722365638,9425.0,,0.0,1499.0,,0.0,33158.0,,0.0,37059.0,,0.0,51373.0,0.0,0.0
6215001615,,,,,,,-373.0,0.0,0.0,8395.0,,0.0,,,
7302015052,1455.0,,0.0,-554.0,,0.0,7371.0,0.0,210.0,5146.0,0.0,1809.0,20369.0,0.0,3252.0
2710015887,100350.0,,0.0,6086.0,201.0,0.0,-116277.0,0.0,0.0,-12274.0,,0.0,-412.0,0.0,0.0
2315128375,59417.0,,0.0,80286.0,,0.0,-61737.0,,228.0,42843.0,,0.0,-127509.0,0.0,0.0
3327332190,26125.0,,,31662.0,,6405.0,42244.0,,7882.0,19439.0,,41745.0,20856.0,0.0,67515.0
7736331798,39551.0,,,18138.0,1.0,,,,,56.0,,,,,
7323004140,7611.0,476.0,0.0,6367.0,372.0,0.0,19900.0,0.0,0.0,100000.0,645.0,0.0,69818.0,0.0,0.0
2129056902,-1478.0,,1782.0,42228.0,,1237.0,-3713.0,,356.0,165130.0,5.0,10556.0,3029.0,0.0,1818.0
1649036570,68018.0,0.0,,16740.0,,,16415.0,,0.0,20755.0,0.0,0.0,2681.0,0.0,0.0
2315141087,4346.0,,318.0,4622.0,,578.0,8465.0,,673.0,6742.0,,1115.0,14909.0,0.0,0.0
9723132647,,,,3692.0,657.0,175.0,,,,,,,0.0,0.0,0.0
6312142523,-213.0,49.0,807.0,,,,,,,,,,,,
5503214216,91273.0,4605.0,0.0,104398.0,10000.0,0.0,110292.0,10000.0,0.0,91235.0,8577.0,0.0,,,
6686047709,-9796.0,427.0,0.0,-34653.0,0.0,0.0,31621.0,,0.0,54911.0,,0.0,-4171.0,0.0,0.0
7724371147,140.0,0.0,,1361.0,,7.0,2473.0,,0.0,2573.0,,,3159.0,0.0,164.0
7723704474,1080.0,0.0,,2335.0,,,2114.0,,17.0,450.0,,408.0,1133.0,0.0,145.0
2901224994,4682.0,266.0,0.0,29735.0,249.0,0.0,55148.0,4.0,0.0,47752.0,30.0,0.0,794.0,0.0,0.0
7733807503,-95888.0,,60920.0,-49395.0,64.0,32526.0,-39026.0,147.0,2800.0,-130634.0,37.0,2782.0,-19603.0,0.0,2400.0
7451449183,26216.0,,1.0,1176.0,,4.0,-3137.0,,0.0,5472.0,398.0,,3131.0,1291.0,61.0
5027210830,15409.0,,0.0,10344.0,,0.0,6108.0,,0.0,-111136.0,,0.0,,,
1512017400,30347.0,135.0,,693.0,0.0,,-76314.0,,,5006.0,,0.0,5433.0,0.0,0.0
7735181980,14300.0,,,9838.0,,,8123.0,,87.0,,,,,,
7801621186,11638.0,873.0,,11498.0,4480.0,,7328.0,4019.0,,18137.0,4257.0,,20796.0,3297.0,47.0
1001169851,19763.0,,0.0,6052.0,,0.0,38904.0,,0.0,78552.0,,0.0,2611.0,0.0,0.0
6168081770,3543.0,2468.0,3.0,2437.0,1694.0,75.0,754.0,4689.0,5093.0,10354.0,13909.0,20267.0,-1859.0,16330.0,23291.0
272020170,3902.0,,,2443.0,,,1843.0,,,2621.0,,,5433.0,0.0,0.0
1656099355,53062.0,,,37377.0,,,46733.0,,4522.0,9758.0,,9327.0,3091.0,0.0,1739.0
3666086670,8908.0,7422.0,448.0,9219.0,8201.0,73.0,2798.0,2901.0,2372.0,11404.0,6257.0,124.0,9524.0,7364.0,0.0
6316211200,2786.0,,0.0,8796.0,,0.0,12505.0,,0.0,3335.0,0.0,0.0,13619.0,0.0,0.0
5614077572,560.0,53.0,,2573.0,498.0,,5875.0,421.0,,788.0,31.0,,917.0,2.0,0.0
275915355,522.0,,,1552.0,,,6213.0,,,8843.0,,16519.0,6832.0,0.0,25716.0
7813645840,-40795.0,,110.0,46.0,7.0,220.0,163.0,7.0,451.0,-1245.0,9.0,1019.0,-1516.0,0.0,1256.0
7813105556,2678.0,,440.0,3475.0,166.0,0.0,9468.0,1218.0,0.0,4385.0,1699.0,0.0,546.0,0.0,0.0
5262376320,2973.0,186.0,,4193.0,33.0,206.0,16972.0,0.0,324.0,-5558.0,,300.0,-8800.0,0.0,375.0
3662139240,5563.0,3525.0,4319.0,19732.0,4053.0,3691.0,34003.0,12219.0,4839.0,31635.0,14874.0,3970.0,24229.0,14670.0,4924.0
267011050,3201.0,16.0,,3002.0,0.0,,-44538.0,,,,,,,,
266023197,400.0,,,13872.0,,,207.0,,,-2460.0,,,20.0,0.0,0.0
7743210434,593.0,,6.0,-1182.0,27.0,0.0,-522.0,23.0,,,,,,,
7017347525,3586.0,,,12306.0,,0.0,18891.0,,0.0,11531.0,,0.0,11311.0,5037.0,0.0
2628034492,1554.0,,0.0,-37595.0,,0.0,,,,,,,,,
6659169271,1329.0,,0.0,7411.0,,0.0,6625.0,,0.0,9533.0,,0.0,4598.0,0.0,0.0
1424008929,17322.0,2035.0,,15097.0,2739.0,,18888.0,5949.0,,18900.0,9322.0,0.0,127858.0,640.0,0.0
7716718370,,,,6555.0,,,5782.0,,,9330.0,,,,,
3448034047,64507.0,,,-9867.0,,18027.0,-24932.0,,956.0,19520.0,,184.0,57464.0,0.0,12.0
2508129897,0.0,,0.0,,,,,,,,,,,,
6321359402,2041.0,17.0,,985.0,0.0,6.0,1053.0,960.0,0.0,-2347.0,408.0,0.0,-114262.0,0.0,0.0
7733352101,2651.0,,0.0,-3569.0,,0.0,9389.0,,0.0,1181.0,,0.0,5896.0,0.0,0.0
1501028834,11388.0,,67.0,5195.0,,0.0,,,,36.0,,0.0,5299.0,0.0,0.0
814134324,2874.0,,,1732.0,,,10094.0,,,271.0,,,701.0,0.0,0.0
2130156997,5990.0,375.0,39.0,12077.0,273.0,225.0,13554.0,219.0,33.0,4562.0,547.0,837.0,-2913.0,432.0,386.0
1604010540,,,,,,,,,,,,,10739.0,10663.0,545.0
