Наименование / ФИО,Тип субъекта,Категория,ИНН,Регион,Город,Населенный пункт,Дата включения в реестр,Наличие лицензий,Среднесписочная численность работников за предшествующий календарный год
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРКОМ""",Юридическое лицо,Малое предприятие,5902994670,78 - г.Санкт-Петербург,,,01.08.2016,Да,6.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРКРАФТ""",Юридическое лицо,Малое предприятие,6820021312,77 - г.Москва,,,10.08.2017,Да,52.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРЛАЙН""",Юридическое лицо,Малое предприятие,7810941094,78 - г.Санкт-Петербург,,,10.04.2022,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРНЕТ-МАГАЗИН ВАЙБ""",Юридическое лицо,Малое предприятие,7806594708,78 - г.Санкт-Петербург,,,10.02.2022,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРНЕШЕНЕЛ БИЛДИНГ КОНСТРАКШЕН""",Юридическое лицо,Малое предприятие,7453129206,74 - Челябинская область,г Миасс,,01.08.2016,Да,67.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРОСТ""",Юридическое лицо,Малое предприятие,5024046772,50 - Московская область,г Красногорск,п Отрадное,01.08.2016,Нет,43.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРПРОЕКТ""",Юридическое лицо,Малое предприятие,2015002854,92 - г.Севастополь,,,01.08.2016,Нет,22.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРПРОМ""",Юридическое лицо,Малое предприятие,5404417279,54 - Новосибирская область,г Новосибирск,,01.08.2016,Нет,2.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРСЕРВИС""",Юридическое лицо,Малое предприятие,3664095206,36 - Воронежская область,г Воронеж,,01.08.2016,Да,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРСЕРВИС""",Юридическое лицо,Малое предприятие,7842496897,78 - г.Санкт-Петербург,,,10.07.2021,Нет,5.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРСТРОЙ-Н""",Юридическое лицо,Малое предприятие,5406727420,54 - Новосибирская область,г Новосибирск,,01.08.2016,Да,21.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРСТРОЙ-Н""",Юридическое лицо,Малое предприятие,5404012970,54 - Новосибирская область,г Новосибирск,,01.08.2016,Да,51.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРСТРОЙ""",Юридическое лицо,Малое предприятие,7203342411,72 - Тюменская область,г Тюмень,,01.08.2016,Нет,33.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРСТРОЙ""",Юридическое лицо,Малое предприятие,7704744665,77 - г.Москва,,,01.08.2016,Да,10.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРСТРОЙ""",Юридическое лицо,Малое предприятие,7724299885,77 - г.Москва,,,01.08.2016,Нет,86.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРСТРОЙ""",Юридическое лицо,Малое предприятие,5024204330,50 - Московская область,г Красногорск,,10.05.2020,Нет,17.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРСТРОЙ""",Юридическое лицо,Малое предприятие,1647017571,16 - Республика Татарстан (Татарстан),г Заинск,,01.08.2016,Нет,
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРСТРОЙ""",Юридическое лицо,Малое предприятие,7722282100,77 - г.Москва,,,01.08.2016,Да,38.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРСТРОЙ""",Юридическое лицо,Малое предприятие,7202254071,72 - Тюменская область,г Тюмень,,01.08.2016,Нет,0.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРСТРОЙИНВЕСТ""",Юридическое лицо,Малое предприятие,5074059248,50 - Московская область,г Подольск,п Железнодорожный,10.05.2018,Да,22.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,7327064220,73 - Ульяновская область,г Ульяновск,,01.08.2016,Да,32.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРЬЕР - ПЛЮС""",Юридическое лицо,Малое предприятие,5501055377,55 - Омская область,г Омск,,10.08.2019,Нет,53.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРЬЕРСЕРВИС""",Юридическое лицо,Малое предприятие,6452054411,64 - Саратовская область,г Саратов,,01.08.2016,Нет,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРЭКСПО""",Юридическое лицо,Малое предприятие,7717770038,77 - г.Москва,,,01.08.2016,Нет,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕХ КОНСТРАКШН""",Юридическое лицо,Малое предприятие,7811376230,78 - г.Санкт-Петербург,,,01.08.2016,Да,41.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕХГАЗ""",Юридическое лицо,Малое предприятие,7723903945,77 - г.Москва,,,10.08.2018,Нет,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕХГАЗ""",Юридическое лицо,Малое предприятие,6449024784,64 - Саратовская область,г Саратов,,01.08.2016,Нет,28.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕХНИКА""",Юридическое лицо,Малое предприятие,7703579000,77 - г.Москва,,,01.08.2016,Да,22.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕХПРОМ""",Юридическое лицо,Малое предприятие,7816599374,78 - г.Санкт-Петербург,,,01.08.2016,Нет,36.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕХСИСТЕМС""",Юридическое лицо,Малое предприятие,6685107296,66 - Свердловская область,г Екатеринбург,,01.08.2016,Да,39.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,275914312,02 - Республика Башкортостан,г Уфа,,10.03.2018,Да,14.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,5904240830,59 - Пермский край,г Пермь,,01.08.2016,Нет,0.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТРЕЙДЖИЛСТРОЙ""",Юридическое лицо,Малое предприятие,5903998100,77 - г.Москва,,,01.08.2016,Нет,4.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТРЭК-МОНТАЖ""",Юридическое лицо,Малое предприятие,7704843987,77 - г.Москва,,,10.08.2018,Да,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТСТРОЙ""",Юридическое лицо,Малое предприятие,7720430553,77 - г.Москва,,,10.07.2018,Нет,10.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТСТРОЙМОНТАЖ""",Юридическое лицо,Малое предприятие,3662261024,36 - Воронежская область,г Воронеж,,10.04.2018,Нет,4.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЭКС""",Юридическое лицо,Малое предприятие,5406582302,54 - Новосибирская область,г Новосибирск,,10.08.2017,Да,43.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФИНИТИ""",Юридическое лицо,Малое предприятие,7735530590,77 - г.Москва,г Зеленоград,,01.08.2016,Нет,32.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФИНИТИ""",Юридическое лицо,Малое предприятие,7702824788,77 - г.Москва,,,01.08.2016,Нет,17.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФО ТЕХ""",Юридическое лицо,Малое предприятие,7733263469,77 - г.Москва,,,01.08.2016,Нет,33.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОРМ-АЛЬЯНС""",Юридическое лицо,Малое предприятие,7701340551,77 - г.Москва,,,01.08.2016,Да,25.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОСТРОЙ""",Юридическое лицо,Малое предприятие,3811452395,38 - Иркутская область,г Иркутск,,10.02.2018,Нет,35.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИР-МОНТАЖ""",Юридическое лицо,Малое предприятие,7720723736,77 - г.Москва,,,10.08.2017,Нет,26.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРАФТРАНССТРОЙ""",Юридическое лицо,Среднее предприятие,1512015210,15 - Республика Северная Осетия - Алания,,с Нижняя Саниба,01.08.2016,Да,14.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРБИС""",Юридическое лицо,Малое предприятие,6912012621,69 - Тверская область,г Нелидово,,10.01.2021,Нет,13.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРБИС""",Юридическое лицо,Малое предприятие,1655429709,16 - Республика Татарстан (Татарстан),г Казань,,10.01.2020,Нет,24.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРБИС""",Юридическое лицо,Малое предприятие,2364018907,23 - Краснодарский край,г Краснодар,,10.01.2020,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРИС""",Юридическое лицо,Малое предприятие,2524142800,25 - Приморский край,,с Екатериновка,01.08.2016,Нет,14.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРИСТОН""",Юридическое лицо,Малое предприятие,9702008825,77 - г.Москва,,,10.04.2024,Нет,
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРК-КУМУТ""",Юридическое лицо,Среднее предприятие,274182271,23 - Краснодарский край,ГОРОД НОВОРОССИЙСК,,01.08.2016,Нет,14.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРКТЕХ""",Юридическое лицо,Малое предприятие,3808192080,38 - Иркутская область,г Иркутск,,01.08.2016,Да,35.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРКУТ СК""",Юридическое лицо,Малое предприятие,3810336780,38 - Иркутская область,г Иркутск,,01.08.2016,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРКУТСКИЕ БУРОВЫЕ РАБОТЫ""",Юридическое лицо,Малое предприятие,3808223645,38 - Иркутская область,г Иркутск,,01.08.2016,Нет,13.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРСТРОЙ-ИНВЕСТ""",Юридическое лицо,Малое предприятие,1515912458,15 - Республика Северная Осетия - Алания,г Владикавказ,,01.08.2016,Нет,110.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСБ""",Юридическое лицо,Малое предприятие,7703467472,77 - г.Москва,,,10.12.2018,Нет,21.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСВ""",Юридическое лицо,Малое предприятие,9725028948,77 - г.Москва,,,10.03.2020,Нет,22.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСВЕНТ""",Юридическое лицо,Малое предприятие,5001069967,50 - Московская область,г Балашиха,,01.08.2016,Да,31.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСИДА""",Юридическое лицо,Малое предприятие,6167203023,61 - Ростовская область,г Ростов-на-Дону,,10.04.2022,Нет,17.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСК ""ЭНЕРГОПРОМСТРОЙ""",Юридическое лицо,Малое предприятие,1658187254,16 - Республика Татарстан (Татарстан),г Казань,,01.08.2016,Да,18.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКОМ""",Юридическое лицо,Малое предприятие,4501215580,45 - Курганская область,г Курган,,10.08.2017,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА""",Юридическое лицо,Малое предприятие,6671065705,66 - Свердловская область,г Екатеринбург,,10.02.2017,Нет,11.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА""",Юридическое лицо,Малое предприятие,276967532,02 - Республика Башкортостан,г Уфа,,10.03.2022,Да,37.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСМ-ГРУПП""",Юридическое лицо,Малое предприятие,7733772917,50 - Московская область,,д Павловское,01.08.2016,Нет,0.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСМ-ИНВЕСТ""",Юридическое лицо,Малое предприятие,6455058171,64 - Саратовская область,г Саратов,,01.08.2016,Нет,10.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСП-ГРУПП""",Юридическое лицо,Малое предприятие,9729057611,77 - г.Москва,,,10.03.2017,Нет,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСТОК-СТРОЙ""",Юридическое лицо,Малое предприятие,5257140785,52 - Нижегородская область,г Нижний Новгород,,01.08.2016,Да,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ-ГРУПП""",Юридическое лицо,Малое предприятие,7716715980,50 - Московская область,г Люберцы,,01.08.2016,Да,32.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТАЛРЕДЖИС КОНСТРАКШНС""",Юридическое лицо,Малое предприятие,7722365638,77 - г.Москва,,,01.08.2016,Нет,12.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТК-СЕТИ""",Юридическое лицо,Малое предприятие,5038042760,50 - Московская область,,,10.08.2017,Да,59.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТРКС""",Юридическое лицо,Малое предприятие,7704369069,77 - г.Москва,,,10.09.2016,Нет,26.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТС-СТРОЙ""",Юридическое лицо,Малое предприятие,7733304309,77 - г.Москва,,,10.11.2016,Нет,32.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТС""",Юридическое лицо,Среднее предприятие,2465218282,24 - Красноярский край,г Красноярск,,01.08.2016,Да,100.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТС""",Юридическое лицо,Малое предприятие,5027211181,77 - г.Москва,,,01.08.2016,Да,3.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТЦ КОНВЕН""",Юридическое лицо,Малое предприятие,7722193450,77 - г.Москва,,,01.08.2016,Нет,62.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИЧАЛКОВСКАЯ ДСПМК""",Юридическое лицо,Малое предприятие,1310087050,13 - Республика Мордовия,,п/ст Оброчное,01.08.2016,Да,38.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-ИНДАСТРИАЛ ГРУПП""",Юридическое лицо,Малое предприятие,7729771766,77 - г.Москва,,,01.08.2016,Нет,11.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-РЕСУРС СЕВЕРО-ЗАПАД""",Юридическое лицо,Малое предприятие,7806352265,78 - г.Санкт-Петербург,,,01.08.2016,Да,8.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-СЕРВИС""",Юридическое лицо,Малое предприятие,276930797,02 - Республика Башкортостан,г Уфа,,10.03.2018,Нет,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-СТРОЙ""",Юридическое лицо,Малое предприятие,2465162618,24 - Красноярский край,г Красноярск,,10.04.2017,Нет,10.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-СТРОЙ""",Юридическое лицо,Малое предприятие,7801311089,78 - г.Санкт-Петербург,,,01.08.2016,Нет,8.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-СТРОЙ""",Юридическое лицо,Малое предприятие,3918013055,71 - Тульская область,г Тула,,10.09.2016,Нет,29.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-СТРОЙ""",Юридическое лицо,Малое предприятие,3257019182,32 - Брянская область,г Брянск,,10.11.2020,Нет,27.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К7""",Юридическое лицо,Малое предприятие,5047241949,50 - Московская область,г Химки,,10.08.2020,Нет,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАВЖИЛСТРОЙ - 1""",Юридическое лицо,Малое предприятие,702722832,07 - Кабардино-Балкарская Республика,,с Малка,01.08.2016,Да,70.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАВКАЗ ИНВЕСТ СТРОЙ""",Юридическое лицо,Малое предприятие,2301071520,23 - Краснодарский край,,с Сукко,10.08.2017,Нет,5.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАДКОМ""",Юридическое лицо,Малое предприятие,2703094503,27 - Хабаровский край,г Комсомольск-на-Амуре,,10.07.2017,Нет,47.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗАНЬ - КАПИТАЛЬНОЕ СТРОИТЕЛЬСТВО""",Юридическое лицо,Малое предприятие,1657073776,16 - Республика Татарстан (Татарстан),г Казань,,01.08.2016,Нет,2.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗСТРОЙ""",Юридическое лицо,Среднее предприятие,1659181826,77 - г.Москва,,,10.06.2017,Нет,14.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗЭНЕРГО-СТРОЙ""",Юридическое лицо,Малое предприятие,1658215511,16 - Республика Татарстан (Татарстан),г Казань,,10.03.2019,Нет,30.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЙДЗЕНГРУПП""",Юридическое лицо,Малое предприятие,9719011311,77 - г.Москва,,,10.02.2021,Нет,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЛИНИНГРАДСКОЕ МОНТАЖНОЕ УПРАВЛЕНИЕ СЕВЗАПЭНЕРГОМОНТАЖ""",Юридическое лицо,Малое предприятие,3906982224,39 - Калининградская область,г Калининград,,01.08.2016,Нет,5.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЛИНКА ХАУС""",Юридическое лицо,Малое предприятие,7203362087,72 - Тюменская область,г Тюмень,,01.08.2016,Нет,17.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЛИПСО""",Юридическое лицо,Малое предприятие,9709013119,77 - г.Москва,,,10.11.2017,Нет,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМА-СЕРВИС""",Юридическое лицо,Малое предприятие,1646031380,16 - Республика Татарстан (Татарстан),г Елабуга,,01.08.2016,Нет,22.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМАСПЕЦСТРОЙ""",Юридическое лицо,Малое предприятие,1651074220,16 - Республика Татарстан (Татарстан),г Нижнекамск,,01.08.2016,Нет,20.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМАСПЕЦСТРОЙ""",Юридическое лицо,Малое предприятие,1841038639,18 - Удмуртская Республика,г Ижевск,,01.08.2016,Да,0.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМАСТРОЙ""",Юридическое лицо,Среднее предприятие,5919012756,59 - Пермский край,г Соликамск,,10.01.2023,Да,12.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМАХИМТРЕЙД""",Юридическое лицо,Малое предприятие,1651054907,16 - Республика Татарстан (Татарстан),г Казань,,01.08.2016,Нет,17.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМАЭНЕРГОМОНТАЖ""",Юридическое лицо,Малое предприятие,264070988,02 - Республика Башкортостан,г Уфа,,01.08.2016,Нет,29.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМАЭНЕРГОСТРОЙ""",Юридическое лицо,Малое предприятие,5905995640,59 - Пермский край,г Пермь,,01.08.2016,Нет,13.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМЕННЫЙ ВЕК""",Юридическое лицо,Малое предприятие,7706577473,77 - г.Москва,,,01.08.2016,Нет,14.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАММОНТАЖСТРОЙ""",Юридическое лицо,Малое предприятие,1650320730,16 - Республика Татарстан (Татарстан),г Набережные Челны,,01.08.2016,Нет,79.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМСКАЯ ПРОМЫШЛЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Среднее предприятие,1650298812,16 - Республика Татарстан (Татарстан),г Набережные Челны,,01.08.2016,Да,156.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМСТРОЙ-НЧ""",Юридическое лицо,Малое предприятие,1650333908,16 - Республика Татарстан (Татарстан),г Набережные Челны,,01.08.2016,Нет,79.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМСТРОЙ""",Юридическое лицо,Малое предприятие,7706699898,77 - г.Москва,,,01.08.2016,Нет,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМТЕХСТРОЙ-НК""",Юридическое лицо,Среднее предприятие,1650315673,16 - Республика Татарстан (Татарстан),г Казань,,01.08.2016,Нет,93.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМЧАТГЭССТРОЙ""",Юридическое лицо,Среднее предприятие,4101163993,41 - Камчатский край,г Петропавловск-Камчатский,,01.08.2016,Нет,137.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМЧАТСКИЙ МОСТООТРЯД""",Юридическое лицо,Малое предприятие,4105039556,41 - Камчатский край,,п Новый,01.08.2016,Нет,39.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАНДАЛАКШСКАЯ ПЕРЕРАБАТЫВАЮЩАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,5102046437,51 - Мурманская область,г Кандалакша,,01.08.2016,Нет,36.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАНСОН""",Юридическое лицо,Малое предприятие,5027210830,77 - г.Москва,,,01.08.2016,Да,18.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАНСТРОЙ СЕВЕРО-ЗАПАД""",Юридическое лицо,Малое предприятие,2902072769,29 - Архангельская область,г Северодвинск,,01.08.2016,Нет,54.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАНСТРОЙ""",Юридическое лицо,Малое предприятие,403004590,04 - Республика Алтай,,с Усть-Кан,10.09.2016,Нет,13.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАНЪЯР КОНСТРАКШН""",Юридическое лицо,Малое предприятие,7714403495,77 - г.Москва,,,01.08.2016,Нет,25.0
