Наименование / ФИО,Тип субъекта,Категория,ИНН,Регион,Город,Населенный пункт,Дата включения в реестр,Наличие лицензий,Среднесписочная численность работников за предшествующий календарный год
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛАВЗАРУБЕЖСТРОЙ""",Юридическое лицо,Среднее предприятие,7704697207,77 - г.Москва,,,10.07.2021,Да,0.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛАВУКС""",Юридическое лицо,Малое предприятие,5000000218,77 - г.Москва,,,10.08.2017,Нет,15.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРАЖДАНСТРОЙ""",Юридическое лицо,Малое предприятие,6731010189,67 - Смоленская область,г Смоленск,,10.09.2022,Нет,56.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРАНИ ГОРОДА""",Юридическое лицо,Среднее предприятие,5044125655,77 - г.Москва,,,10.07.2023,Нет,47.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЕР СТРОЙ""",Юридическое лицо,Малое предприятие,7743356592,77 - г.Москва,,,10.04.2021,Нет,1.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬМОРМОНТАЖ-ВОСТОЧНЫЙ""",Юридическое лицо,Малое предприятие,2508045333,25 - Приморский край,г Находка,,10.08.2017,Нет,42.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИАПАЗОН""",Юридическое лицо,Малое предприятие,7814027004,78 - г.Санкт-Петербург,,,10.08.2017,Да,24.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОЛГОПРУДНЕНСКОЕ УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""",Юридическое лицо,Малое предприятие,5025012896,50 - Московская область,г Долгопрудный,,10.08.2017,Нет,13.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНАЯ КОМПАНИЯ""-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК""",Юридическое лицо,Малое предприятие,3123040930,31 - Белгородская область,г Белгород,,10.08.2017,Нет,32.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ № 1""",Юридическое лицо,Малое предприятие,7714046959,77 - г.Москва,,,10.07.2022,Да,
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ №2""",Юридическое лицо,Малое предприятие,5263001814,52 - Нижегородская область,г Нижний Новгород,,10.08.2017,Нет,38.0
